0,1,2,header,description
1,7,8,Electrified Claw,Gain 8% of Damage as Extra Lightning Damage while Shapeshifted
1,8,7,Intense Flames,35% increased Damage with Hits against Burning Enemies
7,1,8,Rapid Reload,40% increased Crossbow Reload Speed
7,8,1,Chakra of Breathing,1% increased Energy Shield Recharge Rate per 4 Dexterity\n20% increased Evasion Rating while you have Energy Shield
8,1,7,Rusted Pins,30% increased Pin Buildup\nBleeding you inflict on Pinned Enemies is Aggravated
8,7,1,Made to Last,30% increased Armour\n5% of Physical Damage prevented Recouped as Life
0,7,8,Retaliation,75% increased Thorns damage if you've Blocked Recently
0,8,7,Warm the Heart,25% reduced Freeze Duration on you\n60% increased Freeze Threshold
7,0,8,Headshot,Projectiles have 30% increased Critical Damage Bonus against Enemies further than 6m\nProjectiles have 20% increased Critical Hit Chance against Enemies further than 6m\n25% chance to inflict Daze with Hits against Enemies further than 6m
7,8,0,Bloodletting,10% chance to inflict Bleeding on Hit\n15% increased Magnitude of Bleeding you inflict
8,7,0,Shattered Crystal,60% reduced Ice Crystal Life
6,6,8,Necrotic Touch,Minions have 40% increased Critical Hit Chance
8,6,6,Chilled to the Bone,20% increased Chill Duration on Enemies\n30% increased Magnitude of Chill you inflict
5,6,8,Holy Protector,Minions have 25% increased maximum Life\n10% increased Block chance
5,8,6,Secrets of the Orb,Orb Skills have +1 to Limit
6,5,8,Marked Agility,60% increased Mana Cost Efficiency of Marks\n4% increased Movement Speed if you've used a Mark Recently
6,8,5,Searing Heat,100% increased Flammability Magnitude\nIgnites you inflict deal Damage 10% faster
8,5,6,Unsight,Enemies near Enemies you Mark are Blinded\nEnemies you Mark cannot deal Critical Hits
8,6,5,Fortified Location,10% increased Armour and Evasion Rating per Summoned Totem in your Presence\n10% increased Attack Damage per Summoned Totem in your Presence
4,6,8,Spiral into Depression,3% increased Movement Speed\n25% increased Armour\n25% increased maximum Energy Shield
4,8,6,Inherited Strength,Warcries have 15% chance to Empower 3 additional Attacks
6,4,8,Thrill of the Fight,"Consuming Glory grants you 3% increased Attack damage per Glory consumed for 6 seconds, up to 60%"
6,8,4,Aggravation,10% chance to Aggravate Bleeding on targets you Hit with Attacks
8,4,6,Blazing Arms,16% increased Fire Damage\n30% increased Flammability Magnitude\n16% increased Attack Damage
8,6,4,At your Command,Minions deal 10% increased Damage with Command Skills for each different type of Persistent Minion in your Presence
3,6,8,Nurturing Guardian,Life Recovery from your Flasks also applies to your Companions
3,8,6,Explosive Empowerment,"Empowered Attacks deal 20% increased Damage\nEnemies you kill with Empowered Attacks have a 10% chance to Explode, dealing a tenth of their maximum Life as Fire Damage"
6,3,8,Crystalline Flesh,Minions have +20% to all Elemental Resistances\nMinions have +5% to all Maximum Elemental Resistances
6,8,3,Cremating Cries,Empowered Attacks Gain 15% of Physical Damage as Extra Fire damage
8,3,6,Fan the Flames,25% reduced Ignite Duration on you\n40% increased Elemental Ailment Threshold
8,6,3,Extinguishing Exhalation,Remove Ignite when you Warcry
2,6,8,Ruin,35% increased Spell Area Damage\nSpell Skills have 10% reduced Area of Effect
2,8,6,Thirst of Kitava,Life Leeched from Empowered Attacks is Instant
6,2,8,Forthcoming,16% reduced Skill Effect Duration\n10% increased Cooldown Recovery Rate
6,8,2,Quick Recovery,40% increased Stun Recovery\nRegenerate 5% of maximum Life over 1 second when Stunned
8,2,6,Enduring Deflection,20% increased Evasion Rating\nPrevent +3% of Damage from Deflected Hits
8,6,2,Roaring Cries,Warcries have a minimum of 10 Power
1,6,8,Prolonged Assault,16% increased Attack Damage\n16% increased Skill Effect Duration\nBuffs on you expire 10% slower
1,8,6,Everlasting Infusions,Skills have 10% chance to not remove Elemental Infusions but still count as consuming them
6,1,8,Cull the Hordes,40% increased Culling Strike Threshold against Rare or Unique Enemies
6,8,1,Bounty Hunter,Recover 1% of maximum Mana on Kill\nRecover 1% of maximum Life on Kill\n25% increased Culling Strike Threshold
8,1,6,Bravado,Empowered Attacks have 50% increased Stun Buildup\n100% increased Stun Threshold during Empowered Attacks
8,6,1,Finish Them,40% increased Culling Strike Threshold against Immobilised Enemies
0,6,8,Nature's Bite,20% increased Elemental Damage\n15% increased chance to inflict Ailments
0,8,6,Inspiring Ally,Increases and Reductions to Companion Damage also apply to you
6,0,8,Draiocht Cleansing,Channelling Skills deal 20% increased Damage\nRemove a Curse after Channelling for 2 seconds
6,8,0,Echoing Thunder,30% increased Elemental Damage if you've Shocked an Enemy Recently
8,0,6,Vengeful Fury,Every Rage also grants 1% increased Armour\nGain 5 Rage when Hit by an Enemy
8,6,0,Prism Guard,+30% of Armour also applies to Elemental Damage
5,5,8,Frightening Shield,Apply Debilitate to Enemies 3 Metres in front of you while your Shield is raised
5,8,5,Admonisher,25% increased Warcry Speed\n25% increased Warcry Cooldown Recovery Rate
8,5,5,Primed to Explode,Detonator skills have 40% increased Area of Effect\nDetonator skills have 80% reduced damage
4,5,8,Lucidity,8% of Damage is taken from Mana before Life\n+15 to Intelligence
4,8,5,Impair,25% increased Damage with One Handed Weapons\nAttacks have 10% chance to Maim on Hit
5,4,8,Bonded Precision,Allies in your Presence have 25% increased Critical Hit Chance\n25% increased Critical Hit Chance
5,8,4,Deadly Force,25% increased Damage if you've dealt a Critical Hit in the past 8 seconds\n10% increased Critical Hit Chance
8,4,5,Hide of the Bear,40% increased Armour while Shapeshifted\n+1% to Maximum Fire Resistance while Shapeshifted\n25% increased Stun Threshold while Shapeshifted
8,5,4,Grit,10% chance when you gain an Endurance Charge to gain an additional Endurance Charge\n+1 to Maximum Endurance Charges
3,5,8,All For One,20% reduced Presence Area of Effect\n12% increased Area of Effect
3,8,5,Feel the Earth,25% reduced Shock duration on you\n40% increased Elemental Ailment Threshold
5,3,8,One For All,40% increased Presence Area of Effect\n8% reduced Area of Effect
5,8,3,Lust for Sacrifice,50% increased Minion Damage while you have at least two different active Offerings
8,3,5,Lone Warrior,Aura Skills have 14% increased Magnitudes\nYour Aura Buffs do not affect Allies
8,5,3,Bolstering Yell,Empowered Attacks deal 30% increased Damage\nWarcry Skills have 30% increased Area of Effect
2,5,8,Escape Velocity,3% increased Movement Speed\n30% increased Evasion Rating
2,8,5,Living Death,Minions have +22% to all Elemental Resistances\nMinions have +3% to all Maximum Elemental Resistances
5,2,8,Avoiding Deflection,-5% to amount of Damage Prevented by Deflection\n20% increased Deflection Rating
5,8,2,Convalescence,15% reduced Energy Shield Recharge Rate\n40% faster start of Energy Shield Recharge
8,5,2,Emboldened Avatar,50% increased Flammability Magnitude\n25% increased Freeze Buildup\n25% increased chance to Shock\n25% increased Electrocute Buildup
1,5,8,Molten Carapace,50% increased Armour while Ignited\n+2% to Maximum Fire Resistance while Ignited\n50% increased Fire Damage while Ignited
1,8,5,Echoing Flames,30% increased Elemental Damage if you've Ignited an Enemy Recently
5,1,8,Commanding Rage,Every Rage also grants you 1% increased Minion Attack Speed\nEvery Rage also grants you 1% increased Minion Damage
5,8,1,Overheating Blow,Gain 25% of Physical Damage as Extra Fire Damage against Heavy Stunned Enemies
8,1,5,Toxic Sludge,40% increased Duration of Poisons you inflict against Slowed Enemies
8,5,1,Sigil of Ice,30% increased Damage with Hits against Chilled Enemies
0,5,8,Hefty Unit,+ 3 to Stun Threshold per Strength
0,8,5,Moment of Truth,25% increased Critical Damage Bonus if you've dealt a Non-Critical Hit Recently\n15% increased Critical Hit Chance
5,0,8,Everlasting Glory,Skills have a 15% chance to not consume Glory
5,8,0,Preservation,25% increased Skill Effect Duration
8,0,5,The Raging Ox,Hits against you have 30% reduced Critical Damage Bonus\n15% reduced Duration of Ailments on You\n+10 to Strength
8,5,0,Branching Bolts,60% chance for Lightning Skills to Chain an additional time
4,4,8,Shimmering,20% increased Energy Shield Recovery Rate if you haven't been Hit Recently\n3% increased Movement Speed while you have Energy Shield
4,8,4,Quick Fingers,+24% Surpassing chance to fire an additional Arrow
8,4,4,Glancing Deflection,10% increased Deflection Rating
3,4,8,Evocational Practitioner,25% increased Critical Hit Chance if you've Triggered a Skill Recently\nMeta Skills gain 25% increased Energy if you've dealt a Critical Hit Recently
3,8,4,Distant Dreamer,+10% to Chaos Resistance\nGain 5% of Damage as Extra Chaos Damage\n50% reduced effect of Withered on you
4,3,8,The Power Within,20% increased Critical Damage Bonus if you've gained a Power Charge Recently\n+1 to Maximum Power Charges
4,8,3,Ichlotl's Inferno,Every Rage also grants 1% increased Fire Damage
8,3,4,Lasting Trauma,5% reduced Attack Speed\n30% increased Magnitude of Ailments you inflict\n20% increased Duration of Damaging Ailments on Enemies
8,4,3,Cruel Methods,Break 40% increased Armour\n25% increased Physical Damage
2,4,8,Authority,15% increased Area of Effect for Attacks\n10% increased Cooldown Recovery Rate
2,8,4,Wrapped Quiver,20% increased bonuses gained from Equipped Quiver
4,2,8,Sacrificial Blood,15% increased Life Cost of Skills\n40% increased Spell Damage with Spells that cost Life
4,8,2,Desensitisation,25% increased Critical Damage Bonus\nHits against you have 25% reduced Critical Damage Bonus
8,2,4,Hindered Capabilities,30% increased Damage with Hits against Hindered Enemies\nDebuffs you inflict have 10% increased Slow Magnitude
8,4,2,Careful Assassin,20% reduced Critical Damage Bonus\n50% increased Critical Hit Chance
1,4,8,Melding,40% increased maximum Energy Shield\n10% reduced maximum Mana
4,1,8,Distracting Presence,10% increased Cooldown Recovery Rate\nEnemies in your Presence have 10% reduced Cooldown Recovery Rate
4,8,1,The Great Boar,+1 Life per 4 Dexterity\n+ 1 to Stun Threshold per Dexterity\n+5 to Strength
8,1,4,Short Shot,10% reduced Projectile Speed\n20% increased Projectile Damage
8,4,1,Empowering Infusions,30% increased Spell Damage if you have consumed an Elemental Infusion Recently
0,4,8,Spiral into Mania,10% increased Cast Speed\n+13% to Chaos Resistance
0,8,4,Demolitionist,Gain 4% of Damage as Extra Fire Damage for every different Grenade fired in the past 8 seconds
4,0,8,Sling Shots,20% increased Projectile Damage\n20% increased chance to inflict Ailments with Projectiles
4,8,0,Crushing Verdict,5% reduced Attack Speed\n30% increased Stun Buildup\n50% increased Attack Damage
8,0,4,Cooked,60% increased Critical Damage Bonus\n25% reduced Defences
8,4,0,Frozen Claw,Gain 8% of Damage as Extra Cold Damage while Shapeshifted
3,3,8,Blood Transfusion,25% increased Life Regeneration rate\n25% of Spell Mana Cost Converted to Life Cost
3,8,3,Sigil of Lightning,30% increased Damage with Hits against Shocked Enemies
8,3,3,Unhindered,20% reduced Slowing Potency of Debuffs on You\n6% reduced Movement Speed Penalty from using Skills while moving
2,3,8,Stylebender,Hits Break 30% increased Armour on targets with Ailments\n+10 to Strength\n25% increased Physical Damage
2,8,3,Natural Immunity,+ 4 to Ailment Threshold per Dexterity
3,2,8,Energising Deflection,30% increased Energy Shield Recharge Rate\n5% increased Deflection Rating
3,8,2,Electrocution,Enemies you Electrocute have 20% increased Damage taken
8,2,3,Molten Claw,Gain 8% of Damage as Extra Fire Damage while Shapeshifted
8,3,2,Apocalypse,30% reduced Damage\n+8% to Critical Hit Chance of Herald Skills
1,3,8,Kept at Bay,Attacks used by Ballistas have 10% increased Attack Speed\n50% increased Ballista Immobilisation buildup
1,8,3,Slow Burn,20% increased Ignite Magnitude\n20% increased Ignite Duration on Enemies
3,1,8,Mauling Stuns,40% increased Stun Buildup against enemies within 2 metres\n20% increased Melee Damage against Heavy Stunned enemies
3,8,1,For the Jugular,25% increased Critical Damage Bonus\n+10 to Intelligence
8,1,3,Primal Rage,+ 12 to maximum Rage while Shapeshifted
8,3,1,Ancestral Alacrity,30% increased Totem Placement speed\n8% increased Attack and Cast Speed if you've summoned a Totem Recently
0,3,8,Madness in the Bones,Gain 8% of Physical Damage as extra Chaos Damage
0,8,3,Subterfuge Mask,+2 to Evasion Rating per 1 Item Energy Shield on Equipped Helmet
3,8,0,Refocus,30% increased Energy Shield Recharge Rate\n20% increased Mana Regeneration Rate
8,0,3,Proliferating Weeds,Fissure Skills have + 1 to Limit
8,3,0,Ancestral Reach,25% increased Totem Placement speed\n50% increased Totem Placement range
2,2,8,Perforation,20% chance for Bleeding to be Aggravated when Inflicted against Enemies on Jagged Ground\n40% increased Jagged Ground Duration
2,8,2,Chakra of Elements,Gain 8% of Physical Damage as Extra Cold Damage against Shocked Enemies\nGain 8% of Physical Damage as Extra Lightning Damage against Chilled Enemies
8,2,2,Aspiring Genius,20% increased Mana Regeneration Rate\n10% chance to Gain Arcane Surge when you deal a Critical Hit
1,2,8,Insulating Hide,20% faster start of Energy Shield Recharge while Shapeshifted\n+20% of Armour also applies to Elemental Damage while Shapeshifted
1,8,2,The Molten One's Gift,+10% to Fire Resistance\n15% increased effect of Fully Broken Armour\nFully Broken Armour you inflict also increases Fire Damage Taken from Hits
2,8,1,Rupturing Pins,40% increased Magnitude of Bleeding you inflict against Pinned Enemies
8,1,2,Echoing Frost,30% increased Elemental Damage if you've Chilled an Enemy Recently
8,2,1,Dread Engineer's Concoction,35% increased Magnitude of Ignite against Poisoned enemies
0,2,8,Thirsting Ally,Leeching Life from your Hits causes your Companion to also Leech the same amount of Life
0,8,2,Spirit of the Wyvern,20% increased Accuracy Rating while Shapeshifted\n25% increased Elemental Damage while Shapeshifted
2,0,8,Spirit Bonds,Link Skills can target Damageable Minions
2,8,0,Leather Bound Gauntlets,+1 to Evasion Rating per 1 Item Armour on Equipped Gloves
8,0,2,Thin Ice,20% increased Freeze Buildup\n50% increased Damage with Hits against Frozen Enemies
8,2,0,Bannerman,Banner Buffs linger on you for 2 seconds after you leave the Area
1,1,8,Specialised Shots,15% increased Bolt Speed\n20% increased Damage with Crossbows
1,8,1,Immortal Thirst,15% increased maximum Energy Shield\n25% increased amount of Mana Leeched
0,1,8,Frantic Fighter,30% reduced Accuracy Rating while Surrounded\n100% increased Attack Damage while Surrounded
0,8,1,Frenetic,10% chance when you gain a Frenzy Charge to gain an additional Frenzy Charge\n+1 to Maximum Frenzy Charges
1,0,8,Paranoia,50% increased Surrounded Area of Effect
1,8,0,Thrill of Battle,20% increased Attack Speed while Surrounded
8,0,1,Electrotherapy,5% increased Skill Speed\n30% increased Electrocute Buildup
8,1,0,Sigil of Fire,30% increased Damage with Hits against Ignited Enemies
0,0,8,Alternating Current,25% increased Mana Regeneration Rate if you have Shocked an Enemy Recently\n20% increased Magnitude of Shock you inflict
0,8,0,Brush Off,Prevent +15% of Damage from Deflected Critical Hits
8,0,0,Guts,Recover 3% of maximum Life for each Endurance Charge consumed\n+1 to Maximum Endurance Charges
6,7,7,Spellblade,32% increased Spell Damage while wielding a Melee Weapon\n+10 to Dexterity
7,6,7,Bone Chains,Physical Spell Critical Hits build Pin
7,7,6,Turn the Clock Back,15% increased Spell Damage\n10% reduced Projectile Speed for Spell Skills
5,7,7,Warlord Berserker,40% reduced Presence Area of Effect\nAllies in your Presence Regenerate 5 Rage per second if you have gained Rage Recently
7,5,7,Beef,+25 to Strength
7,7,5,Intense Dose,20% increased chance to inflict Ailments\n15% increased Duration of Damaging Ailments on Enemies
4,7,7,Primal Growth,15% increased Area of Effect if you've Killed Recently\n8% increased Area of Effect for Attacks
7,4,7,Lay Siege,1% increased Damage per 1% Chance to Block
7,7,4,Stormcharged,40% increased Elemental Damage if you've dealt a Critical Hit Recently\n15% increased Critical Hit Chance
3,7,7,Last Stand,25% increased Attack Damage if you have been Heavy Stunned Recently\n25% increased Attack Damage while you have no Life Flask uses left\n25% increased Attack Damage while on Low Life\n25% increased Attack Damage while Surrounded
7,3,7,Breaking Point,10% increased Duration of Elemental Ailments on Enemies\n30% increased Magnitude of Non-Damaging Ailments you inflict
7,7,3,Warlord Leader,Allies in your Presence deal 40% increased Damage\n40% increased Presence Area of Effect
2,7,7,Vile Mending,Minions have 20% increased maximum Life\nMinions Regenerate 3% of maximum Life per second\nMinions have +13% to Chaos Resistance
7,2,7,Enveloping Presence,30% increased Presence Area of Effect\nAura Skills have 6% increased Magnitudes
7,7,2,All Natural,+5% to all Elemental Resistances\n30% increased Elemental Damage
1,7,7,Invigorating Grandeur,Recover 1% of maximum Life per Glory consumed
7,1,7,Necrotised Flesh,Minions have 40% increased maximum Life\nMinions have 10% reduced Life Recovery rate
7,7,1,Embracing Frost,+1% to Maximum Cold Resistance\n+10% to Cold Resistance
0,7,7,Rapid Strike,+30 to Accuracy Rating\n8% increased Melee Attack Speed
7,0,7,Impact Force,20% increased Stun Buildup\n25% increased Attack Area Damage
7,7,0,Electrocuting Exposure,Gain 25% of Physical Damage as Extra Lightning Damage against Electrocuted Enemies
6,6,7,Focused Channel,Channelling Skills deal 25% increased Damage\n50% increased Stun Threshold while Channelling
6,7,6,Chronomancy,20% increased Skill Effect Duration\nDebuffs you inflict have 10% increased Slow Magnitude
5,7,6,Arcane Intensity,3% increased Spell Damage per 100 maximum Mana
6,7,5,Restless Dead,Minions Revive 25% faster
7,6,5,Master Fletching,20% increased bonuses gained from Equipped Quiver
4,6,7,Shimmering Mirage,Gain additional Ailment Threshold equal to 30% of maximum Energy Shield\n10% reduced Duration of Ailments on You
4,7,6,Thousand Cuts,Enemies you apply Incision to take 2% increased Physical Damage per Incision
6,4,7,Mending Deflection,15% of Damage taken from Deflected Hits Recouped as Life
6,7,4,Overwhelm,5% reduced Attack Speed\n20% increased Stun Buildup\n40% increased Damage with Two Handed Weapons
7,4,6,Wasting Casts,25% increased Damage with Hits against Hindered Enemies\n15% chance to Hinder Enemies on Hit with Spells
7,6,4,Time Manipulation,Debuffs you inflict have 10% increased Slow Magnitude\nDebuffs on you expire 20% faster
3,6,7,Abasement,20% increased Stun Recovery\nGain additional Stun Threshold equal to 30% of maximum Energy Shield
3,7,6,Harmonic Generator,15% increased Critical Hit Chance against Shocked Enemies\n40% increased Magnitude of Shock you inflict with Critical Hits
6,3,7,The Fabled Stag,"40% increased Endurance, Frenzy and Power Charge Duration\n+10 to Dexterity\nSkills have 10% chance to not remove Charges but still count as consuming them"
6,7,3,Heavy Frost,20% increased Freeze Buildup\nHits ignore non-negative Elemental Resistances of Frozen Enemies
7,6,3,Unbending,"3% increased maximum Life\n10% increased Stun Threshold for each time you've been Hit by an Enemy Recently , up to 100%"
2,7,6,Shattering,30% increased Freeze Buildup\n20% increased Chill Duration on Enemies\n20% increased Magnitude of Chill you inflict
6,7,2,Heavy Armour,"150% of Strength Requirements from Boots, Gloves and Helmets also added to Armour"
7,2,6,Sturdy Ally,Companions gain your Strength\n+15 to Strength
7,6,2,Fate Finding,20% increased Reservation Efficiency of Herald Skills
1,6,7,Staunch Deflection,Deflected Hits cannot inflict Bleeding on you\nDeflected Hits cannot inflict Maim on you
1,7,6,Wasting,15% increased Duration of Damaging Ailments on Enemies\n30% increased Damage with Hits against Enemies affected by Ailments
6,1,7,Infusion of Power,Gain a Power Charge when you consume an Elemental Infusion
6,7,1,Turn the Clock Forward,20% increased Spell Damage\n15% increased Projectile Speed for Spell Skills
7,1,6,Blessing of the Moon,"8% increased Skill Effect Duration per Enemy you've Frozen in the last 8 seconds, up to 40%"
7,6,1,Suffusion,30% increased amount of Mana Leeched\nUnaffected by Chill while Leeching Mana
0,6,7,Craving Slaughter,+ 8 maximum Rage for each time you've used a Skill that Requires Glory in the past 6 seconds
0,7,6,Projectile Bulwark,30% increased Armour\nDefend with 120% of Armour against Projectile Attacks
6,7,0,Dead can Dance,Minions have 25% increased maximum Life\nMinions have 25% increased Evasion Rating
7,0,6,Deep Trance,8% increased Attack Speed\n15% increased Cost Efficiency
7,6,0,Harsh Winter,8% increased Cast Speed with Cold Skills\n16% increased Skill Effect Duration
5,5,7,Bloodthirsty,Leech Life 25% faster\n20% increased amount of Life Leeched
7,5,5,Burn Away,15% increased Fire Damage\n10% increased Ignite Magnitude\nDamage Penetrates 10% Fire Resistance
4,5,7,Quick Response,20% faster start of Energy Shield Recharge\n30% faster start of Energy Shield Recharge when not on Full Life
4,7,5,Bringer of Order,20% increased Damage\nMinions deal 20% increased Damage
5,4,7,Singular Purpose,5% reduced Attack Speed\n20% increased Stun Buildup\n40% increased Damage with Two Handed Weapons
7,4,5,Acceleration,3% increased Movement Speed\n10% increased Skill Speed
7,5,4,Encompassing Domain,10% increased Area Damage\n12% increased Area of Effect if you have Stunned an Enemy Recently
3,5,7,Multitasking,15% increased Skill Effect Duration\n12% increased Cooldown Recovery Rate
3,7,5,Temporal Mastery,16% increased Cooldown Recovery Rate
5,3,7,Sudden Escalation,16% increased Critical Hit Chance for Spells\n8% increased Cast Speed if you've dealt a Critical Hit Recently
7,3,5,Ice Walls,200% increased Ice Crystal Life
2,5,7,Explosive Impact,"15% increased Area of Effect\nBurning Enemies you kill have a 5% chance to Explode, dealing a tenth of their maximum Life as Fire Damage"
2,7,5,Waters of Life,Recover 2% of maximum Life when you use a Mana Flask\nMana Flasks gain 0.1 charges per Second
5,2,7,Shield Expertise,12% increased Block chance\n40% increased Block Recovery
5,7,2,Hail,Empowered Attacks Gain 16% of Damage as Extra Cold Damage
7,2,5,Silent Guardian,Minions have +20% to all Elemental Resistances\n20% increased Elemental Ailment Threshold
1,5,7,Insightfulness,18% increased maximum Energy Shield\n12% increased Mana Regeneration Rate\n6% increased Intelligence
1,7,5,Blood Rush,6% increased Skill Speed\n6% of Skill Mana Costs Converted to Life Costs
5,1,7,Stigmata,Offerings have 30% increased Maximum Life\nRecover 3% of maximum Life when you create an Offering
5,7,1,The Wild Cat,Gain Deflection Rating equal to 10% of Evasion Rating\n40% increased Evasion Rating while moving\n+10 to Dexterity
7,1,5,Hunter,50% increased Damage against Demons\n50% increased Duration of Ailments on Beasts\n50% increased Critical Hit Chance against Humanoids\n50% increased Immobilisation buildup against Constructs\ncan see monster categories [1]
7,5,1,Chakra of Thought,8% of Damage is taken from Mana before Life\n15% increased Attack Speed while not on Low Mana
0,5,7,Bestial Rage,Gain 1 Rage on Melee Hit\nEvery 10 Rage also grants 12% increased Physical Damage
0,7,5,Gravedigger,Minions Revive 15% faster\nRecover 2% of maximum Life when one of your Minions is Revived
5,0,7,Adrenaline Rush,4% increased Movement Speed if you've Killed Recently\n8% increased Attack Speed if you've killed Recently
5,7,0,Fearful Paralysis,Enemies are Intimidated for 4 seconds when you Immobilise them
7,0,5,Push the Advantage,40% increased Critical Damage Bonus with One Handed Melee Weapons
7,5,0,Licking Wounds,"Minions have 15% increased maximum Life\n5% increased Life and Mana Regeneration Rate for each Minion in your Presence , up to a maximum of 40%"
4,4,7,Channelled Heritage,30% increased Area of Effect of Ancestrally Boosted Attacks
4,7,4,Blinding Strike,24% increased Attack Damage\n10% chance to Blind Enemies on Hit with Attacks
7,4,4,Guided Hand,"Ancestrally Boosted Attacks deal 30% increased Damage\nOn Heavy Stunning a Rare or Unique Enemy, your next Attack within 4 seconds will be Ancestrally Boosted"
3,4,7,Shocking Limit,+ 1 to maximum Lightning Infusions
3,7,4,General's Bindings,Gain 8% of Evasion Rating as extra Armour
4,3,7,Reformed Barrier,Your Energy Shield Recharge starts when your Minions are Reformed
4,7,3,Ancestral Mending,Regenerate 1% of maximum Life per second while you have a Totem\nTotems Regenerate 3% of maximum Life per second
7,3,4,Howling Beast,Warcries inflict 3 Critical Weakness on Enemies
7,4,3,Mental Alacrity,5% increased Cast Speed\n15% increased Mana Regeneration Rate\n+10 to Intelligence
2,4,7,Frozen Limit,+ 1 to maximum Cold Infusions
2,7,4,Jack of all Trades,2% increased Damage per 5 of your lowest Attribute
4,2,7,Infernal Limit,+ 1 to maximum Fire Infusions
4,7,2,Mental Toughness,18% increased Mana Regeneration Rate\n25% increased Mana Cost Efficiency while on Low Mana
7,2,4,In Your Face,40% increased Melee Damage with Hits at Close Range
7,4,2,Breakage,Break 60% increased Armour\n10% chance to Defend with 200% of Armour
1,4,7,Necromantic Ward,20% increased Life Regeneration rate\n30% reduced effect of Curses on you\n30% increased damage against Undead Enemies\ncan see monster categories [1]
1,7,4,Vengeance,10% of Thorns Damage Leeched as Life
4,1,7,The Frenzied Bear,30% increased Damage if you've consumed a Frenzy Charge Recently\n10% increased Skill Speed if you've consumed a Frenzy Charge Recently\n+10 to Strength
4,7,1,Cold Nature,25% increased Cold Damage\n15% increased Chill Duration on Enemies
7,1,4,Tempered Defences,25% increased Armour\n+15% of Armour also applies to Elemental Damage
7,4,1,Blade Catcher,Defend with 200% of Armour against Critical Hits\n+15 to Strength
0,4,7,Emboldening Lead,Minions deal 30% increased Damage if you've Hit Recently
0,7,4,Dependable Ward,25% increased Energy Shield Recharge Rate\n25% faster start of Energy Shield Recharge
4,0,7,Empowering Remains,40% increased Spell Damage if one of your Minions has died Recently
4,7,0,Price of Freedom,15% increased Cost Efficiency of Attacks\n18% of Skill Mana Costs Converted to Life Costs
7,0,4,Enhanced Reflexes,20% increased Evasion Rating\nGain Deflection Rating equal to 5% of Evasion Rating\n8% increased Dexterity
7,4,0,Echoing Pulse,Final Repeat of Spells has 30% increased Area of Effect
3,3,7,Manifold Method,50% increased amount of Mana Leeched\n25% increased chance to inflict Ailments against Rare or Unique Enemies
3,7,3,Thicket Warding,20% chance for Charms you use to not consume Charges\nRecover 5% of maximum Mana when a Charm is used
7,3,3,Melting Flames,"Enemies Ignited by you permanently take 1% increased Fire Damage for each second they have ever been Ignited by you, up to a maximum of 10%"
2,3,7,Fortifying Blood,20% increased amount of Life Leeched\n40% increased Armour and Evasion Rating while Leeching
2,7,3,Chakra of Stability,30% increased Stun Recovery\n+ 1 to Stun Threshold per Dexterity\nRegenerate 3% of maximum Life over 1 second when Stunned
3,2,7,Core of the Guardian,100% increased Defences from Equipped Shield
3,7,2,Utmost Offering,Offerings cannot be damaged if they have been created Recently
7,2,3,Coated Arms,25% increased Damage with One Handed Weapons\nAttacks with One-Handed Weapons have 20% increased Chance to inflict Ailments
7,3,2,Boundless Growth,Plants have a 20% chance to immediately Overgrow
1,3,7,Growing Swarm,Minions have 20% increased Area of Effect\nMinions have 20% increased Cooldown Recovery Rate
1,7,3,Empowering Remnants,15% chance for Remnants you create to grant their effects twice
3,1,7,Reverberation,Spell Skills have 15% increased Area of Effect
3,7,1,Marathon Runner,12% increased Movement Speed while Sprinting
7,1,3,Proficiency,+25 to Dexterity
7,3,1,Efficient Contraptions,Hazards have 15% chance to rearm after they are triggered
0,3,7,Icebreaker,Gain 50% of maximum Energy Shield as additional Freeze Threshold
0,7,3,Split Shot,Projectiles have 75% chance for an additional Projectile when Forking
3,0,7,First Approach,40% increased Critical Hit Chance against Enemies that are on Full Life\nCannot be Blinded while on Full Life\n80% increased Damage with Hits against Enemies that are on Full Life
3,7,0,Agile Sprinter,100% increased Evasion Rating while Sprinting
7,0,3,Mind Eraser,20% increased Mana Regeneration Rate\n15% increased Mana Cost Efficiency
7,3,0,Unstoppable Barrier,10% increased Block chance\n15% reduced Slowing Potency of Debuffs on You
2,2,7,The Winter Owl,3% increased Evasion Rating per 10 Intelligence\nGain Accuracy Rating equal to your Intelligence\n+10 to Intelligence
2,7,2,Curved Weapon,15% increased Accuracy Rating\n+10 to Dexterity
7,2,2,Constricting,Debuffs you inflict have 5% increased Slow Magnitude\n25% increased Physical Damage
1,2,7,Easy Target,Your Hits cannot be Evaded by Heavy Stunned Enemies
1,7,2,Advanced Munitions,25% increased chance to inflict Ailments with Projectiles
2,1,7,Endured Suffering,10% of Physical Damage taken Recouped as Life\n20% increased Physical Damage
2,7,1,Tenfold Attacks,4% increased Attack Speed\n6% increased Attack Speed if you've been Hit Recently\n+10 to Strength
7,1,2,Punctured Lung,Enemies you Fully Armour Break cannot Regenerate Life\nEnemies you Fully Armour Break are Maimed
7,2,1,The Noble Wolf,25% increased Magnitude of Ailments you inflict against Marked Enemies\n20% increased Critical Hit Chance against Marked Enemies\n+10 to Dexterity
0,2,7,Thornhide,+6% to Thorns Critical Hit Chance
0,7,2,Loose Flesh,20% of Elemental Damage taken Recouped as Life
